age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
55,management,married,tertiary,no,655,no,no,cellular,28,July,6,-1,0,unknown,no
39,management,single,tertiary,no,1234,no,no,telephone,29,July,4,-1,0,unknown,no
49,blue-collar,married,primary,yes,-354,no,yes,cellular,7,July,1,-1,0,unknown,no
54,management,married,tertiary,no,122,yes,no,cellular,22,July,3,-1,0,unknown,no
33,services,married,secondary,no,930,no,yes,cellular,24,July,2,-1,0,unknown,no
43,technician,divorced,primary,no,13,no,yes,cellular,9,July,4,-1,0,unknown,no
33,blue-collar,married,secondary,no,285,no,yes,unknown,3,July,1,-1,0,unknown,no
39,management,married,secondary,no,0,yes,no,cellular,24,July,21,-1,0,unknown,no
31,unemployed,married,tertiary,no,330,no,no,cellular,13,July,1,181,3,success,yes
25,services,divorced,secondary,no,1694,no,no,cellular,7,July,2,-1,0,unknown,no
34,technician,single,secondary,no,5731,yes,no,cellular,21,July,3,-1,0,unknown,no
52,technician,married,secondary,no,475,yes,no,cellular,28,July,3,-1,0,unknown,no
40,services,married,secondary,no,518,no,no,telephone,17,July,1,-1,0,unknown,no
34,blue-collar,married,secondary,yes,-745,yes,yes,cellular,11,July,2,-1,0,unknown,no
49,blue-collar,married,primary,no,247,no,yes,cellular,22,July,1,-1,0,unknown,no
31,admin.,married,secondary,no,212,yes,no,cellular,18,July,3,-1,0,unknown,no
48,entrepreneur,married,secondary,no,0,no,yes,cellular,28,July,2,-1,0,unknown,yes
53,technician,married,unknown,no,2242,no,no,cellular,10,July,14,-1,0,unknown,no
47,technician,single,secondary,no,736,no,no,cellular,29,July,2,-1,0,unknown,no
50,blue-collar,married,primary,no,9301,yes,no,cellular,7,July,4,-1,0,unknown,no
46,blue-collar,married,primary,no,333,yes,no,cellular,31,July,4,-1,0,unknown,no
52,blue-collar,married,primary,no,117,no,yes,cellular,24,July,2,-1,0,unknown,no
36,technician,married,tertiary,no,571,yes,yes,cellular,31,July,3,-1,0,unknown,no
42,blue-collar,single,primary,no,92,no,no,cellular,30,July,2,-1,0,unknown,no
27,services,single,secondary,no,1928,no,yes,cellular,15,July,5,-1,0,unknown,no
32,blue-collar,married,primary,no,-105,yes,yes,telephone,31,July,19,-1,0,unknown,no
41,services,married,primary,no,0,yes,no,cellular,17,July,11,-1,0,unknown,no
40,technician,married,secondary,no,-357,yes,no,cellular,16,July,4,-1,0,unknown,yes
51,services,single,secondary,no,513,yes,no,cellular,29,July,2,-1,0,unknown,no
34,technician,single,tertiary,no,2047,yes,no,cellular,28,July,5,-1,0,unknown,no
58,retired,single,primary,no,6570,no,no,cellular,21,July,3,-1,0,unknown,no
45,blue-collar,single,tertiary,no,-243,no,yes,cellular,8,July,2,-1,0,unknown,no
56,blue-collar,divorced,primary,yes,-1,no,no,cellular,18,July,3,-1,0,unknown,no
53,management,divorced,tertiary,no,6388,yes,no,telephone,23,July,2,-1,0,unknown,no
35,technician,married,secondary,no,840,yes,no,cellular,29,July,4,-1,0,unknown,no
46,management,married,tertiary,no,0,yes,no,cellular,14,July,2,-1,0,unknown,no
34,services,married,secondary,no,40,yes,no,cellular,17,July,2,-1,0,unknown,no
50,management,married,secondary,no,2910,no,no,telephone,29,July,1,-1,0,unknown,no
46,services,married,secondary,no,375,no,no,telephone,31,July,6,-1,0,unknown,no
42,blue-collar,married,unknown,no,149,yes,no,telephone,23,July,3,-1,0,unknown,no
29,services,single,primary,no,339,no,no,unknown,4,July,3,-1,0,unknown,yes
50,unemployed,single,secondary,no,588,no,no,cellular,31,July,3,-1,0,unknown,no
50,technician,married,secondary,no,1717,no,no,telephone,7,July,8,-1,0,unknown,no
40,services,divorced,secondary,no,694,yes,no,cellular,31,July,14,-1,0,unknown,no
